split,bmrb_id,pdb_id,chain_id,n_rows,h_entry_offset_score_ppm,n_entry_offset_score_ppm,h_entry_mean_deviation_ppm,n_entry_mean_deviation_ppm,h_entry_deviation_mad_ppm,n_entry_deviation_mad_ppm,h_robust_z_train_rule,n_robust_z_train_rule,h_reference_outlier_flag,n_reference_outlier_flag,n_only_reference_outlier_flag
test,4188,1BCI,A,115,0.3194999999999997,1.4200000000000017,0.34764347826086917,1.6876652173913032,0.5404999999999998,3.500000000000014,1.7641588576085407,1.4857098931807002,False,False,False
test,4223,1TBA,A,64,-0.07525000000000048,-0.08499999999999375,-0.19265624999999997,-0.989875000000001,0.27474999999999916,1.8299999999999983,-0.4137980119488378,-0.13457517148375953,False,False,False
test,4227,1BQZ,A,74,-0.17000000000000082,-1.1550000000000011,-0.14845945945945985,-1.6011351351351357,0.43999999999999995,1.8500000000000014,-0.9365628337108701,-1.286538639384749,False,False,False
test,4228,1BQ0,A,72,-0.18625000000000025,-1.2164999999999964,-0.1480000000000004,-1.7150555555555558,0.4187500000000006,1.802749999999996,-1.026219069633115,-1.3527496237547536,False,False,False
test,4230,1BUQ,A,115,0.05999999999999872,1.5,0.0740999999999995,1.9312608695652171,0.4800000000000004,2.799999999999997,0.3324177362655602,1.5718380029303045,False,False,False
test,4242,3MSP,A,114,0.13975000000000026,7.111999999999995,0.1367938596491226,7.466688596491227,0.3277499999999991,2.9699999999999918,0.7724229556378318,7.613724901865167,False,True,True
test,4269,1GHT,A,98,0.044500000000000206,-0.2149999999999963,0.08142346938775505,0.17010714285714276,0.26499999999999924,2.2037499999999994,0.2468994804628088,-0.2745333498268722,False,False,False
test,4285,1K2H,A,78,-0.10875000000000057,-0.9085000000000036,-0.15960256410256432,-0.7961538461538467,0.37624999999999975,1.6159999999999997,-0.5986277906193187,-1.021156401218778,False,False,False
test,4334,1KQQ,A,124,-0.28525000000000134,-1.2687500000000043,-0.2255080645161292,-1.4146612903225817,0.3650000000000002,1.846499999999999,-1.5724324454055856,-1.4090020454349736,False,False,False
train,3322,1E8P,A,44,0.10250000000000092,0.04000000000000625,0.1226249999999999,1.0250113636363631,0.4750000000000001,3.1195000000000093,0.5669032763699132,0.0,False,False,False
train,4023,1Q2N,A,55,-0.12249999999999872,-1.1400000000000148,-0.15133636363636363,-1.4868727272727298,0.26750000000000096,1.286999999999992,-0.6744907594765952,-1.2703896188067125,False,False,False
train,4089,2DEF,A,138,-0.02000000000000135,-3.0332499999999953,-0.004634057971014763,-2.890228260869567,0.4800000000000022,2.8714999999999904,-0.10896680981319945,-3.3086651660997135,False,False,False
train,4114,1A5J,A,103,-0.049999999999998934,-0.7424999999999926,-0.1343640776699031,-1.0015582524271853,0.42050000000000143,1.9945000000000164,-0.2744860145927209,-0.8424405734883335,False,False,False
